,8_2.5d_total,8_6d_total,8_7d_total,8_16d_total,zygote_sc,early2C_sc,mid2C_sc,late2C_sc,4C_sc,8C_sc,16C_sc,midblast_sc,earlyblast_sc,lateblast_sc,ES_sc
Acsl1,22.169,8.80032,7.270435,5.1264,97.29027,95.92407,98.305855,48.871826,10.374842999999998,8.988854,10.86543,5.9896955,27.047554,11.21198,8.596260000000001
Acsl3,37.3368,35.39295,24.17531,27.38948,131.056,113.711655,118.082954,281.35797,129.61928,70.356735,69.47069499999999,83.80286,83.43037,52.740417,23.66032
Acss1,1.367025,1.326815,1.921745,0.97816,0.0,0.0,0.0,0.18439284,0.06887766,15.590226,16.616951,60.69996999999999,22.94086,24.958815,5.018891
Actb,399.38,775.9514999999999,608.2850000000001,971.0505,177.48648,261.5264,413.07224,499.45123,1241.8611,5872.5596,6367.2563,13052.202,19951.059,32311.158,3262.2566
Actl6a,46.3521,47.10085,19.5951,40.168400000000005,149.4135,238.37665,119.01383,95.90584,205.8572,200.8356,250.02254,149.89192,157.0511,144.38962,342.38843
Actn4,130.40949999999998,134.251,133.2,285.9855,192.63263,200.02289,132.03293,133.38066,110.80096,442.6619,559.922,941.0135,530.1985,945.66693,186.04178
Actr1a,36.96385,33.9304,35.5115,47.2338,281.22186,246.54182000000003,187.7014,118.09463,125.87623,98.92159,101.786354,87.25249000000001,70.0444,184.11383,54.68215
Actr2,72.3314,62.360600000000005,62.5458,92.63955,353.86066,560.2065,627.98926,506.17178,404.09824,441.23874000000006,486.01703,599.5769700000001,803.6018,1137.5138,111.039696
Actr3,79.85955,84.61144999999999,83.83570999999998,125.40719999999996,162.93271,208.12372,281.56244,216.07852000000003,77.09337,81.71772,107.00143,359.83182,344.34088,492.7366,130.43256
Actr5,6.27449,5.4363150000000005,5.440414999999999,3.155895,2.5553577,0.50274026,35.654083,100.65484,106.50115,43.961372,29.297012,13.355139,7.796147299999999,10.217706,4.5567636
Actr8,26.1321,17.500349999999997,16.878,13.40648,104.74334,122.638855,23.073824,8.773805,15.641687,53.857384,64.9674,65.11885,70.42016600000001,28.905924,46.17121
Acy3,4.13812,2.5119825,2.355491,1.8640355,1.6090703000000002,2.0323477,11.049468,8.925508500000001,3.4162006000000003,4.5899134,12.340376,4.2258496,15.474127,6.863026,4.180109
Ada,5.3186,3.216135,3.159495,1.4778345000000002,6.4026604,5.773623000000001,8.217526,0.2640985,12.920005,4.7994847,5.918279599999999,4.4438815,10.587936,3.0728724,9.769613
Adam10,21.104750000000003,41.3804,52.2242,27.28615,127.098145,98.759834,105.3186,86.5308,332.85284,121.96387,113.74781000000002,111.32094,98.80505,152.80423000000002,7.645805999999999
Adam17,15.99875,21.22825,24.0711,19.01475,178.92311,178.11838,169.40399,287.34903,154.23604,108.84279,105.91367,76.71653,59.72961,49.00007,12.23766
Adam19,4.581105,37.68915,35.096599999999995,60.33015,3.9154077,4.172226,4.2925797,8.7899885,0.2563265,1.6851218999999995,1.8488547,80.14101,34.120655,101.658936,3.6598003
Adam9,24.88154,25.446715,22.95659,10.53618,20.049648,13.283154500000002,21.295006,5.099714,11.196775,12.793234,18.230358,20.398579,45.72335,36.531227,7.295745
Adamts3,0.1057456,0.0969891,0.1899952,0.07076725,33.80962,53.43866,25.180704,17.08689,1.5454849,3.3754475,0.0345729139999999,0.06472881,0.0,0.0,0.0
Adamts9,2.73823,7.987249999999999,9.29083,7.720765,1.770193,1.2943428999999995,0.17965311,0.018885706,0.016874488,0.0024936446,0.002002611,1.4769397,0.0019016895,1.0093517,1.0809879999999998
Adamtsl1,0.25151415,0.570983,0.1924025,0.50445,158.00313,212.12335,71.54056,43.234085,9.486754,0.08714961,0.9635743,1.5149002,0.008605688,0.13510273,0.23502505
Adar,19.341555,8.744299999999999,10.631925,8.364395,141.33995,210.38826,114.29125,62.611626,56.561382,31.35061,21.04478,33.219402,14.972438,15.800693,10.606872
Adarb2,32.25085,9.052269999999998,7.584104999999999,11.018345,9.294346,34.019054,32.282146000000004,5.930009,0.0,0.0,0.0,0.056759074,0.0,0.021470595,25.043242000000003
Adck5,0.0,0.0,0.0,0.0,1.7480394,0.45661,8.56017,16.240353,34.580936,16.232437,13.127672,148.17378,58.908073,13.635234,26.159878
Adcy5,0.568255,0.152101,0.1705479999999999,0.1337225,64.51781,141.1539,65.504234,32.183907,13.378745,2.0072408,1.7545134999999998,0.100407965,0.008935639,0.0,0.39449564
Add1,110.58825,84.55165,91.63455,64.29161500000001,165.09547,87.17848000000001,54.6828,41.927227,54.655552,47.829887,24.063993,289.0018,126.044334,104.57335,19.108648
Add3,27.453025,21.097295,17.717855,12.061319999999998,180.82838,162.07997,42.006138,25.445099,35.98769,9.975916,12.188506,50.471070000000005,35.734924,31.565483,17.266226
Adh5,90.1688,80.2797,54.1147,91.6087,447.99432,469.91147,249.12126,55.500385,72.3238,128.0912,135.64938,382.30713,377.2904,344.49026000000003,501.16165
Adhfe1,0.3515565,0.18234865,0.234902,0.2185875,2.9965284,7.499529400000001,5.232366000000001,3.6020904,0.009211561,2.7870154,1.4915957,9.812015,0.98110676,6.2464523000000005,1.3661757
Adk,29.421525,34.23789000000001,25.62895,27.02725,169.1573,254.37868,159.71227,70.980835,19.125484,31.200941,34.326057,110.121925,84.5484,148.06078,59.218258
Adm,11.31775,2.8751100000000003,1.91393,5.47005,0.0,1.9610909,18.642557,9.816044,1.4164118,0.13250051,1.2764448,0.18302244,2.5839744,0.0,0.83102214
Adm2,1.19667,0.811707,0.2101058999999999,1.425115,63.35266,45.94241,5.456217,5.577903,0.2755725,0.45487818,0.47155097,0.035843242,0.0023257122,0.0,4.282339599999999
Adnp2,6.231199999999999,5.550825,5.134274999999999,11.29805,21.007439,24.56581,14.137217499999998,36.67061,16.474165,13.207179,11.200913,69.40876999999999,36.498154,26.410740000000004,13.410874
Adpgk,26.7026,26.367805,26.36673,14.41715,121.60387,43.543392,19.135675,25.190275,79.79182,34.690376,48.055367,52.184574,66.903885,30.650972,61.379723
Adprh,69.69655,56.2016,70.4582,89.12275,54.290318000000006,43.651,33.83335,17.21958,17.445248,66.52750999999999,82.07789,155.5274,173.96175,156.80888000000002,331.2405
Adrb2,0.7529205,0.212042,0.4113265,1.35272,0.0,5.747857,5.7499347,0.012608318,0.0,0.5001218,0.0,0.0020133988,0.0024809067,0.0,0.36906454
Adrm1,148.61399999999998,148.40300000000002,162.9685,129.05,31.744995,16.476578,17.521187,44.835995,102.507515,144.7019,201.12737,148.20023,130.05182,98.72021,452.13055
Adss,43.5896,49.6078,44.3839,45.06275,446.05063,564.5071,386.34103,215.23152,125.67589,129.3232,124.262634,147.30956,182.44649,138.57852,130.2027
Aebp2,11.12823,7.233465,11.916265,16.675360000000005,107.59227,113.29234,140.52596,129.01529,214.28941,436.36472,438.04355,360.5464,215.65671,404.90018,4.399139
Afap1,6.18114,7.324925,7.5351,14.4039,240.5108,306.7875,172.16284,70.72914,8.664997999999999,1.3172913,10.353488,0.5006649000000001,0.6974486,0.44717667,2.034504
Afap1l2,0.237862,0.626478,0.49438,0.7051669999999999,422.7684,364.10095,143.92049,55.267480000000006,15.009903,0.065469824,3.7991016,1.019885,0.25809526,0.019667339,0.4109362
Aff1,7.378159999999999,10.028175,10.323995,11.8591,169.52765,228.12007000000003,463.31552,539.57965,243.39674,140.27225,87.59655,75.18111,39.445377,47.082676,7.923097599999999
Aftph,8.14832,7.72334,8.883185000000001,8.46035,172.56686000000002,168.06772,199.69182,160.9902,149.7233,89.37609,88.59506,69.19091999999999,52.32095,57.46661999999999,7.2858076
Agbl3,0.5878185,0.94776815,0.961468,1.9521915,4.999411599999999,4.6555147,0.38423774,0.010072475,0.011442268,0.10226281,3.2479284,0.03995364,0.01990776,0.0033530179999999,0.009963883
Agk,17.14855,10.558365,13.1263,7.59642,38.10181,47.05319,9.654458,2.157612,5.4990106,13.995675,15.628056,31.945337,33.885082000000004,20.261929,55.269016
Agmat,0.5274695,0.0214901,0.0,0.061133,0.0,0.4532029,5.5979247,10.505604,12.3520975,36.314156,30.147043,2.8764572,7.3922977,0.7678946,2.2158628
Agpat1,48.45875,58.1288,63.89615,78.40865,53.066673,35.916515000000004,57.65878000000001,41.74002,9.318688,4.463483,12.378789,38.470898,38.42255,67.71076,33.131207
Agps,21.2944,12.63754,17.8391,24.40835,196.56874,243.7442,305.2889,145.26248,93.6419,72.11455,55.308613,132.98915,144.2289,111.35278999999998,9.331178
