,8_sc,zygote_sc,early2C_sc,mid2C_sc,late2C_sc,4C_sc,16C_sc,midblast_sc,earlyblast_sc,lateblast_sc,D.EPSCs_sc,L.EPSCs_sc,TBLC_sc,ES_sc,2CLC_ref1
Dlgap2,13.600186,0.9067781,4.165367,4.643657,2.033704,0.01887531,0.33093926,0.37756553,0.81258553,0.0049293204,0.008186208,0.24021266,0.96523964,0.43178412,0.0261211
Dlgap3,2.7866156,0.0,0.0,0.0,0.0177340489999999,0.0,0.0145824364999999,0.08502557,0.0135620539999999,0.22478195,4.9099035,6.173652,12.07171,33.629112,13.6404
Dlx3,0.88012534,0.0,0.53023875,3.540115,0.9980261,2.7939868,0.80311453,0.0,0.013764018,0.0038889681,3.5234566,0.8255089,1.81538,0.54723114,0.421572
Dnajb4,13.682211,605.7689,872.3137,43.21092,9.3745365,0.0280709579999999,0.6395989000000001,2.2002704,3.1623518,0.88195044,3.6551332,4.809787,12.463409,3.1419008,0.486935
Dnajc5b,3.3822975,0.0,0.26805836,0.6643348000000001,0.0,0.0,0.004394897,0.016244637,0.015040435,0.254081,0.14689341,0.0,0.5029127,0.35872698,0.0
Dock3,3.2304251,156.6337,113.01142,42.63696,34.0771,5.5769486,4.9536467,1.132701,0.052523587,0.0150697689999999,0.5925391,1.0086771,1.3010348,0.59099686,0.0
Dock7,14.942158,321.94577000000004,346.43448,370.07388,103.70296,8.957234,3.0341582,13.903356,22.305115,19.558567,12.205427,6.4313245000000006,8.777006,5.3040605,4.59965
Dpp10,0.029924303,4.267353,14.147837,3.5761697,2.1690965,0.009947071,0.0,0.017351141,0.0058193119999999,0.0,0.0,0.0,0.08726953,0.0,0.00983673
Dpp6,0.33165625,18.99974,11.3424225,8.18661,4.1614575,0.04093357,0.0,0.8080837,0.026871487,0.40598437,1.4785007,0.6842239,0.38372615,0.6837936,0.3344705
Dpys,0.9665266,2.1069329,1.4033676000000002,0.07449115,0.008328381,0.02372032,0.008975873,0.7318316,0.0064969077,6.7925925000000005,1.9243566000000003,2.417466,29.751186,10.448957,0.182585
Dpysl3,14.654753,314.6073,358.10223,121.74976,50.37584,12.202087,26.893532,0.49101648,0.038717747,0.06662305,5.3114343,6.737841599999999,8.922236999999999,9.164089,5.6321650000000005
Dram1,0.740783,0.5759496999999999,0.0,0.58105135,4.447707,11.006533,2.5804193,38.067688,31.981672,12.562858,0.06004998,0.38506734,1.6413813999999998,0.24911857,0.234058
Dscam,0.42111364,40.120735,63.6246,44.340744,18.42872,0.8669441999999999,0.41646028,0.15505381,0.0049618133,0.017621113,0.068382084,0.106747925,0.16403665,0.0,0.0149609
Dtna,0.5432421,25.439785,54.04268,11.56219,4.748070200000001,5.7488565000000005,0.029356925,0.040865395,0.1475046,0.33630517,4.2658625,4.328899400000001,1.1274861,0.32781893,1.044124
Duoxa2,3.829277,0.0,2.9839513,472.16568,153.0251,0.2213899,0.8810706,0.9904412,0.62134075,0.56230855,0.0,0.092470914,1.1262004,0.0,0.0626468
Dusp1,26.61527,404.3495,265.57495,153.46445,87.438255,10.918309,14.983138,9.470934,8.214808999999999,10.815629,184.26636,107.3936,105.51885,69.43625,46.6729
Dusp23,1.3985158000000002,26.581532,12.736565,4.5087075,3.9755192,0.25963327,0.5231284,0.018638486,0.21095948,0.77473193,1.3692316999999998,0.5486544,0.97931814,1.1992283,0.250824
